"","diff","lwr","upr","p adj"
"Current:D-Current:C",8.05747022899996,-24.0693473501948,40.1842878081948,0.999999601442595
"ssp245E:D-Current:C",4.88150456200003,-27.2453130171948,37.0083221411948,0.999999999987312
"ssp370E:D-Current:C",2.56390799500006,-29.5629095841947,34.6907255741949,1
"zz245L:D-Current:C",3.59395091400003,-28.5328666651948,35.7207684931948,1
"zz370L:D-Current:C",-6.92107054299994,-39.0478881221947,25.2057470361949,0.99999998045318
"ssp370E:C-ssp245E:C",-6.62876634599996,-38.7555839251948,25.4980512331948,0.999999991884639
"zz245L:C-ssp245E:C",-5.73052871099998,-37.8573462901948,26.3962888681948,0.999999999607289
"zz370L:C-ssp245E:C",-39.0505969314,-71.1774145105948,-6.92377935220517,0.0027997053801635
"Ahistorical:D-ssp245E:C",17.1471305119999,-14.9796870671949,49.2739480911947,0.951851837741692
"Current:D-ssp245E:C",18.5634395259999,-13.5633780531949,50.6902571051947,0.898070893438851
"ssp245E:D-ssp245E:C",15.387473859,-16.7393437201948,47.5142914381948,0.985536904882937
"ssp370E:D-ssp245E:C",13.069877292,-19.0569402871948,45.1966948711948,0.998349464753953
"zz245L:D-ssp245E:C",14.099920211,-18.0268973681948,46.2267377901948,0.995241718895431
"zz370L:D-ssp245E:C",3.58489875400001,-28.5419188251948,35.7117163331948,1
"zz245L:C-ssp370E:C",0.898237634999987,-31.2285799441948,33.0250552141948,1
"zz370L:C-ssp370E:C",-32.4218305854,-64.5486481645948,-0.29501300620521,0.0449105798385083
"Ahistorical:D-ssp370E:C",23.7758968579999,-8.35092072119494,55.9027144371947,0.498652678954482
"Current:D-ssp370E:C",25.1922058719999,-6.93461170719493,57.3190234511947,0.377812171418519
"ssp245E:D-ssp370E:C",22.0162402049999,-10.1105773741949,54.1430577841948,0.655455027081532
"ssp370E:D-ssp370E:C",19.698643638,-12.4281739411948,51.8254612171948,0.834414849478844
"zz245L:D-ssp370E:C",20.7286865569999,-11.3981310221949,52.8555041361948,0.761651633147214
"zz370L:D-ssp370E:C",10.2136651,-21.9131524791948,42.3404826791948,0.999968352961617
"zz370L:C-zz245L:C",-33.3200682204,-65.4468857995948,-1.1932506412052,0.0320898251712737
"Ahistorical:D-zz245L:C",22.8776592229999,-9.24915835619493,55.0044768021947,0.579070808448321
"Current:D-zz245L:C",24.2939682369999,-7.83284934219492,56.4207858161947,0.453174657260698
"ssp245E:D-zz245L:C",21.11800257,-11.0088150091948,53.2448201491948,0.731013830190922
"ssp370E:D-zz245L:C",18.800406003,-13.3264115761948,50.9272235821948,0.886311345506492
"zz245L:D-zz245L:C",19.830448922,-12.2963686571948,51.9572665011948,0.825852931428906
"zz370L:D-zz245L:C",9.31542746499998,-22.8113901141948,41.4422450441948,0.999993877153589
"Ahistorical:D-zz370L:C",56.1977274433999,24.0709098642051,88.3245450225947,2.0101259046168e-07
"Current:D-zz370L:C",57.6140364573999,25.4872188782051,89.7408540365947,8.14853127195647e-08
"ssp245E:D-zz370L:C",54.4380707904,22.3112532112052,86.5648883695948,6.04385434255228e-07
"ssp370E:D-zz370L:C",52.1204742234,19.9936566442052,84.2472918025948,2.48214408105074e-06
"zz245L:D-zz370L:C",53.1505171424,21.0236995632052,85.2773347215948,1.33194038320905e-06
"zz370L:D-zz370L:C",42.6354956854,10.5086781062052,74.7623132645948,0.000487284086949535
"Current:D-Ahistorical:D",1.41630901400001,-30.7105085651948,33.5431265931948,1
"ssp245E:D-Ahistorical:D",-1.75965665299992,-33.8864742321947,30.3671609261949,1
"ssp370E:D-Ahistorical:D",-4.07725321999989,-36.2040707991947,28.0495643591949,1
"zz245L:D-Ahistorical:D",-3.04721030099992,-35.1740278801947,29.0796072781949,1
"zz370L:D-Ahistorical:D",-13.5622317579999,-45.6890493371947,18.5645858211949,0.997205611343018
"ssp245E:D-Current:D",-3.17596566699993,-35.3027832461947,28.9508519121949,1
"ssp370E:D-Current:D",-5.4935622339999,-37.6203798131947,26.6332553451949,0.999999999839386
"zz245L:D-Current:D",-4.46351931499993,-36.5903368941947,27.6632982641949,0.99999999999834
"zz370L:D-Current:D",-14.9785407719999,-47.1053583511947,17.1482768071949,0.989599705331475
"ssp370E:D-ssp245E:D",-2.31759656699997,-34.4444141461948,29.8092210121948,1
"zz245L:D-ssp245E:D",-1.287553648,-33.4143712271948,30.8392639311948,1
"zz370L:D-ssp245E:D",-11.802575105,-43.9293926841948,20.3242424741948,0.999648859986849
"zz245L:D-ssp370E:D",1.03004291899997,-31.0967746601948,33.1568604981948,1
"zz370L:D-ssp370E:D",-9.48497853800001,-41.6117961171948,22.6418390411948,0.999991501105604
"zz370L:D-zz245L:D",-10.515021457,-42.6418390361948,21.6117961221948,0.999947716545751
